Regiao;Estado;UF;Governador;TotalCasos;TotalObitos
Norte;Acre;AC;GLADSON DE LIMA CAMELI;55770;1314
Nordeste;Alagoas;AL;JOSE RENAN VASCONCELOS CALHEIROS FILHO;172786;4124
Norte;Amap�;AP;ANTONIO WALDEZ GÓES DA SILV;95870;1408
Norte;Amazonas;AM;WILSON MIRANDA LIMA;273416;8062
Nordeste;Bahia;BA;RUI COSTA DOS SANTOS;613258;13296
Nordeste;Cear�;CE;CAMILO SOBREIRA DE SANTANA;478124;17842
Centro-Oeste;Distrito Federal;DF;IBANEIS ROCHA BARROS JUNIOR;381010;6406
Sudeste;Espírito Sant;ES;JOSE RENATO CASAGRANDE;259592;7048
Centro-Oeste;Goiá;GO;RONALDO RAMOS CAIADO;405508;9058
Nordeste;Maranhã;MA;FLÁVIO DINO DE CASTRO E COST;344352;7470
Centro-Oeste;Mato Grosso;MT;MAURO MENDES FERREIRA;242290;6744
Centro-Oeste;Mato Grosso do Sul;MS;REINALDO AZAMBUJA SILVA;136650;2556
Sudeste;Minas Gerais;MG;ROMEU ZEMA NETO;580274;14480
Norte;Par�;PA;HELDER ZAHLUTH BARBALHO;456136;13102
Nordeste;Paraíb;PB;JOÃO AZEVEDO LINS FILH;239974;5608
Sul;Paran�;PR;CARLOS ROBERTO MASSA JUNIOR;351964;8756
Nordeste;Pernambuco;PE;PAULO HENRIQUE SARAIVA CÂMAR;290192;16380
Nordeste;Piau�;PI;JOSÉ WELLINGTON BARROSO DE ARAÚJO DI;189466;4202
Sudeste;Rio de Janeiro;RJ;WILSON JOSÉ WITZE;524012;36582
Nordeste;Rio Grande do Norte;RN;MARIA DE FATIMA BEZERRA;137530;4754
Sul;Rio Grande do Sul;RS;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;371556;9296
Norte;Rondôni;RO;MARCOS JOSE ROCHA DOS SANTOS;130772;2680
Norte;Roraima;RR;ANTONIO OLIVERIO GARCIA DE ALMEIDA;99936;1274
Sul;Santa Catarina;SC;CARLOS MOISÉS DA SILV;426132;5530
Sudeste;São Paul;SP;JOÃO AGRIPINO DA COSTA DORIA JUNIO;1946284;70250
Nordeste;Sergipe;SE;BELIVALDO CHAGAS SILVA;154344;4050
Norte;Tocantins;TO;MAURO CARLESSE;133730;1844
